u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge,distance,lighting,greenery,pollution,surface_quality
359237293,563661381,0,655753853,secondary,2,30 mph,,False,True,12.997660603999552,48.2802,0.9691670327463099,"LINESTRING (-3.5224632 50.7255214, -3.5225698 50.7255371, -3.5226449 50.7255346)",yes,asphalt,B3183,,,roundabout,,,,12.997660603999552,0.2,0.3,0.7,0.9
5784256588,5784256584,0,4089082,secondary,2,30 mph,,False,False,26.790356275601294,48.2802,1.997615639375244,"LINESTRING (-3.522568 50.7250383, -3.5226179 50.7250356, -3.5226827 50.7250418, -3.5227101 50.7250444, -3.5227966 50.7250665, -3.5228725 50.7251007, -3.5229039 50.725126)",yes,asphalt,B3183,,,roundabout,,,,26.790356275601294,0.2,0.3,0.7,0.9
5784256588,359237348,0,5105144,secondary,1,30 mph,Western Way,False,False,36.18736340118901,48.2802,2.698300923448545,"LINESTRING (-3.522568 50.7250383, -3.5228282 50.7249721, -3.5230202 50.7248878)",yes,asphalt,,,,,,,,36.18736340118901,0.2,0.3,0.7,0.9
5784256588,5784256589,0,655753858,secondary,2,30 mph,,False,True,10.60005676314186,48.2802,0.7903903535468099,"LINESTRING (-3.522568 50.7250383, -3.522525 50.7250408, -3.5224237 50.7250634)",yes,asphalt,B3183,,,roundabout,,,,10.60005676314186,0.2,0.3,0.7,0.9
21761614,21761636,0,32023518,secondary,,30 mph,Paris Street,False,True,28.234159572759076,48.2802,2.1052724400879175,"LINESTRING (-3.5230025 50.7253199, -3.5231699 50.7252495, -3.5233531 50.7251985)",yes,asphalt,B3183,,,,,,,28.234159572759076,0.2,0.3,0.7,0.9
21761614,563661380,0,655753855,secondary,2,30 mph,,False,False,17.71700088900665,48.2802,1.3210633593154946,"LINESTRING (-3.5230025 50.7253199, -3.5229895 50.7253511, -3.5229518 50.72541, -3.522892 50.725461)",yes,asphalt,B3183,,,roundabout,,,,17.71700088900665,0.2,0.3,0.7,0.9
21761614,5784256586,0,655753856,secondary,2,30 mph,,False,True,20.975655348891493,48.2802,1.564044044059664,"LINESTRING (-3.5230025 50.7253199, -3.5229908 50.7252257, -3.5229548 50.7251671, -3.5229243 50.7251425)",yes,asphalt,B3183,,,roundabout,,,,20.975655348891493,0.2,0.3,0.7,0.9
21761636,5784256586,0,4089132,secondary,1,30 mph,Paris Street,False,True,30.897466037487753,48.2802,2.3038611632709873,"LINESTRING (-3.5233531 50.7251985, -3.5231794 50.7251851, -3.5230615 50.7251681, -3.5229243 50.7251425)",yes,asphalt,B3183,,,,,,,30.897466037487753,0.2,0.3,0.7,0.9
21761636,21761614,0,32023518,secondary,,30 mph,Paris Street,False,False,28.234159572759076,48.2802,2.1052724400879175,"LINESTRING (-3.5233531 50.7251985, -3.5231699 50.7252495, -3.5230025 50.7253199)",yes,asphalt,B3183,,,,,,,28.234159572759076,0.2,0.3,0.7,0.9
21761636,1786461708,0,"[1455359243, 42737095]",secondary,,20 mph,Paris Street,False,False,19.7748858568349,32.1868,2.211763489523831,"LINESTRING (-3.5233531 50.7251985, -3.5235624 50.7251749, -3.5236297 50.7251674)",no,asphalt,B3183,,,,,,,19.7748858568349,0.8,0.3,0.7,0.9
