y,x,street_count,highway,ref,junction,railway,geometry
51.4406509,-2.5815781,3,,,,,POINT (-2.5815781 51.4406509)
51.4706937,-2.5734358,3,,,,,POINT (-2.5734358 51.4706937)
51.4699083,-2.5753643,3,,,,,POINT (-2.5753643 51.4699083)
51.4691808,-2.5732794,3,,,,,POINT (-2.5732794 51.4691808)
51.4693334,-2.575442,3,,,,,POINT (-2.575442 51.4693334)
51.4671775,-2.5826582,4,,,,,POINT (-2.5826582 51.4671775)
51.4665634,-2.5820983,4,,,,,POINT (-2.5820983 51.4665634)
51.4653183,-2.5833128,3,mini_roundabout,,,,POINT (-2.5833128 51.4653183)
51.4656863,-2.5816254,3,,,,,POINT (-2.5816254 51.4656863)
51.4701275,-2.5802308,3,,,,,POINT (-2.5802308 51.4701275)
51.4714372,-2.5807816,4,,,,,POINT (-2.5807816 51.4714372)
51.4711465,-2.5815885,3,,,,,POINT (-2.5815885 51.4711465)
51.4716955,-2.5818033,3,,,,,POINT (-2.5818033 51.4716955)
51.470583,-2.5839929,3,,,,,POINT (-2.5839929 51.470583)
51.4701495,-2.5848511,3,,,,,POINT (-2.5848511 51.4701495)
51.4694427,-2.5846727,4,,,,,POINT (-2.5846727 51.4694427)
51.4685595,-2.5833046,3,,,,,POINT (-2.5833046 51.4685595)
51.4709002,-2.5851575,3,,,,,POINT (-2.5851575 51.4709002)
51.472271,-2.5887483,3,,,,,POINT (-2.5887483 51.472271)
51.4596839,-2.5901682,3,,,,,POINT (-2.5901682 51.4596839)
51.4590827,-2.5908112,1,,,,,POINT (-2.5908112 51.4590827)
51.4597523,-2.5909588,3,,,,,POINT (-2.5909588 51.4597523)
51.5062046,-2.6159023,3,,,,,POINT (-2.6159023 51.5062046)
51.501713,-2.6161066,3,,,,,POINT (-2.6161066 51.501713)
51.4992935,-2.6164902,3,,,,,POINT (-2.6164902 51.4992935)
51.497245,-2.6190225,3,,,,,POINT (-2.6190225 51.497245)
51.4945096,-2.6218075,3,,,,,POINT (-2.6218075 51.4945096)
51.4939005,-2.6218948,3,,,,,POINT (-2.6218948 51.4939005)
51.4859005,-2.6157677,3,,,,,POINT (-2.6157677 51.4859005)
51.4715501,-2.6213527,4,crossing,,,,POINT (-2.6213527 51.4715501)
51.4688484,-2.6235869,4,,,,,POINT (-2.6235869 51.4688484)
51.4726539,-2.6204415,3,,,,,POINT (-2.6204415 51.4726539)
51.4645049,-2.6269816,3,,,,,POINT (-2.6269816 51.4645049)
51.462738,-2.6261719,4,,,,,POINT (-2.6261719 51.462738)
51.4594913,-2.6235259,4,,,,,POINT (-2.6235259 51.4594913)
51.4614446,-2.6250649,4,,,,,POINT (-2.6250649 51.4614446)
51.4602765,-2.6222838,3,,,,,POINT (-2.6222838 51.4602765)
51.4610684,-2.6209733,3,,,,,POINT (-2.6209733 51.4610684)
51.4619782,-2.6238907,3,,,,,POINT (-2.6238907 51.4619782)
51.4624935,-2.6229868,3,,,,,POINT (-2.6229868 51.4624935)
51.4619583,-2.6219818,3,,,,,POINT (-2.6219818 51.4619583)
51.463453,-2.6246896,4,,,,,POINT (-2.6246896 51.463453)
51.4584054,-2.6235302,3,,,,,POINT (-2.6235302 51.4584054)
51.4592571,-2.6241123,3,,,,,POINT (-2.6241123 51.4592571)
51.4590079,-2.625217,3,,,,,POINT (-2.625217 51.4590079)
51.4585306,-2.6248408,3,,,,,POINT (-2.6248408 51.4585306)
51.4587241,-2.626689,4,,,,,POINT (-2.626689 51.4587241)
