u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lit,surface,lanes,ref,service,tunnel,access,bridge,junction
6327939492,859323083,0,72343233,residential,20 mph,Halston Drive,False,False,25.58982928598164,"LINESTRING (-2.5814741 51.4632328, -2.5815048 51.4632018, -2.5815705 51.463149, -2.5817001 51.4630511)",no,asphalt,,,,,,,
6327939492,6327939494,0,72343233,residential,20 mph,Halston Drive,False,True,41.25242210341515,"LINESTRING (-2.5814741 51.4632328, -2.5812192 51.4634904, -2.5811616 51.4635486)",no,asphalt,,,,,,,
104829,1242132583,0,3877714,unclassified,20 mph,,False,True,68.65888115570544,"LINESTRING (-2.5807185 51.461573, -2.5807331 51.4615131, -2.5807499 51.4614412, -2.5807947 51.4614031, -2.5812664 51.4610797)",yes,asphalt,,,,,,,
104829,19871273,0,"[72343225, 72343218, 3877715]",unclassified,20 mph,"['Wilson Place', 'Dove Lane', 'Wilson Street']",False,"[False, True]",153.82310067403628,"LINESTRING (-2.5807185 51.461573, -2.5807835 51.4615883, -2.5808392 51.4616164, -2.5812657 51.4619366, -2.5819786 51.4615184, -2.5822897 51.4613315)",yes,asphalt,,,,,,,
104829,1722968878,0,"[4013288, 1364006095]",unclassified,,Newfoundland Road,False,False,125.97538068128651,"LINESTRING (-2.5807185 51.461573, -2.5806395 51.4615793, -2.580548 51.461617, -2.5803651 51.4617659, -2.5797481 51.4624144, -2.5796845 51.4624764)",yes,asphalt,,,,,,,
1242132583,104829,0,3877714,unclassified,20 mph,,False,False,68.65888115570544,"LINESTRING (-2.5812664 51.4610797, -2.5807947 51.4614031, -2.5807499 51.4614412, -2.5807331 51.4615131, -2.5807185 51.461573)",yes,asphalt,,,,,,,
1242132583,17476836,0,3877714,unclassified,20 mph,,False,True,33.10760408385856,"LINESTRING (-2.5812664 51.4610797, -2.5814732 51.4609357, -2.5815743 51.4608523)",yes,asphalt,,,,,,,
1242132583,6211451020,0,663625161,service,,,False,False,112.12882522943798,"LINESTRING (-2.5812664 51.4610797, -2.5814505 51.4611842, -2.5815471 51.4612209, -2.5815833 51.4612259, -2.5816275 51.4612134, -2.5818756 51.4610964, -2.5819708 51.4610622, -2.5820352 51.4610405, -2.5820942 51.4610204, -2.5821278 51.4609945, -2.5821385 51.4609519, -2.5821345 51.4609001, -2.582109 51.4608608, -2.5820634 51.460824, -2.5818705 51.4607148)",yes,asphalt,,,,,,,
19871273,19871274,0,72343225,unclassified,20 mph,Wilson Street,False,True,44.85446045280386,"LINESTRING (-2.5822897 51.4613315, -2.5828657 51.4611473)",yes,asphalt,,,,,,,
19871273,104829,0,"[72343225, 72343218, 3877715]",unclassified,20 mph,"['Wilson Place', 'Dove Lane', 'Wilson Street']",False,"[False, True]",153.82310067403628,"LINESTRING (-2.5822897 51.4613315, -2.5819786 51.4615184, -2.5812657 51.4619366, -2.5808392 51.4616164, -2.5807835 51.4615883, -2.5807185 51.461573)",yes,asphalt,,,,,,,
19871273,6211450986,0,663625146,service,,,False,False,38.12521605469308,"LINESTRING (-2.5822897 51.4613315, -2.5823617 51.4614219, -2.5825341 51.4616387)",yes,asphalt,,,,,,,
1722968878,1722968890,0,160234170,service,,,False,False,22.93897229740086,"LINESTRING (-2.5796845 51.4624764, -2.5799636 51.4625874)",yes,asphalt,,,,,,,
1722968878,1297069020,0,1364006095,unclassified,,Newfoundland Road,False,False,39.12080435493503,"LINESTRING (-2.5796845 51.4624764, -2.5793882 51.4627759)",yes,asphalt,,,,,,,
1722968878,104829,0,"[4013288, 1364006095]",unclassified,,Newfoundland Road,False,True,125.97538068128651,"LINESTRING (-2.5796845 51.4624764, -2.5797481 51.4624144, -2.5803651 51.4617659, -2.580548 51.461617, -2.5806395 51.4615793, -2.5807185 51.461573)",yes,asphalt,,,,,,,
17476836,6211451020,0,3526935,trunk,30 mph,Newfoundland Way,False,True,25.5903383724923,"LINESTRING (-2.5815743 51.4608523, -2.5818705 51.4607148)",yes,asphalt,2,A4032,,,,,
17476836,1242132583,0,3877714,unclassified,20 mph,,False,False,33.10760408385856,"LINESTRING (-2.5815743 51.4608523, -2.5814732 51.4609357, -2.5812664 51.4610797)",yes,asphalt,,,,,,,
6211451020,17476836,0,3526935,trunk,30 mph,Newfoundland Way,False,False,25.5903383724923,"LINESTRING (-2.5818705 51.4607148, -2.5815743 51.4608523)",yes,asphalt,2,A4032,,,,,
6211451020,1242132577,0,3526935,trunk,30 mph,Newfoundland Way,False,True,44.56220771186957,"LINESTRING (-2.5818705 51.4607148, -2.5819001 51.460701, -2.5822928 51.4605368, -2.5824038 51.4604908)",yes,paved,2,A4032,,,,,
